refinement_iterations,use_feedback,small_object_threshold,large_object_threshold,small_kernel_size,medium_kernel_size,large_kernel_size,mean_dice,median_dice,min_dice,max_dice,std_dice,processing_time,samples_per_second,class_2_dice,class_3_dice,config
2,True,0.005,0.2,3,3,7,0.4899868948974202,0.6862293249759475,0.0,1.0,0.41092173155022027,1.679509162902832,23.816482150573535,0.6492643483981851,0.33070944139665504,combo_10
2,True,0.005,0.2,3,5,5,0.4769228816028077,0.6525112635793651,0.0,1.0,0.4031574264723254,1.685492992401123,23.73192898477538,0.6398952968819056,0.31395046632370976,combo_11
2,True,0.005,0.2,3,5,7,0.4769228816028077,0.6525112635793651,0.0,1.0,0.4031574264723254,1.6795086860656738,23.816488912422262,0.6398952968819056,0.31395046632370976,combo_12
2,True,0.005,0.2,5,3,5,0.4945104060071923,0.6895501934802672,0.0,1.0,0.4110163618786874,1.6894822120666504,23.67589295365839,0.6535140343320759,0.3355067776823085,combo_13
2,True,0.005,0.2,5,3,7,0.4945104060071923,0.6895501934802672,0.0,1.0,0.4110163618786874,1.6854934692382812,23.731922270857,0.6535140343320759,0.3355067776823085,combo_14
2,True,0.005,0.2,5,5,5,0.48144639271257983,0.6525112635793651,0.0,1.0,0.40340039812833856,1.6954655647277832,23.592339963815327,0.6441449828157965,0.31874780260936325,combo_15
2,True,0.005,0.2,5,5,7,0.48144639271257983,0.6525112635793651,0.0,1.0,0.40340039812833856,1.81215238571167,22.073198874106367,0.6441449828157965,0.31874780260936325,combo_16
2,True,0.005,0.25,3,3,5,0.4899868948974202,0.6862293249759475,0.0,1.0,0.41092173155022027,1.8061699867248535,22.14630975710786,0.6492643483981851,0.33070944139665504,combo_17
2,True,0.005,0.25,3,3,7,0.4899868948974202,0.6862293249759475,0.0,1.0,0.41092173155022027,1.9338288307189941,20.68435394311919,0.6492643483981851,0.33070944139665504,combo_18
2,True,0.005,0.25,3,5,5,0.4769228816028077,0.6525112635793651,0.0,1.0,0.4031574264723254,1.8430721759796143,21.70289396221802,0.6398952968819056,0.31395046632370976,combo_19
2,True,0.005,0.25,3,5,7,0.4769228816028077,0.6525112635793651,0.0,1.0,0.4031574264723254,1.9986562728881836,20.01344630520059,0.6398952968819056,0.31395046632370976,combo_20
2,True,0.005,0.25,5,3,5,0.4945104060071923,0.6895501934802672,0.0,1.0,0.4110163618786874,1.6436045169830322,24.336754728213577,0.6535140343320759,0.3355067776823085,combo_21
2,True,0.005,0.25,5,3,7,0.4945104060071923,0.6895501934802672,0.0,1.0,0.4110163618786874,1.7872200012207031,22.3811282173875,0.6535140343320759,0.3355067776823085,combo_22
2,True,0.005,0.25,5,5,5,0.48144639271257983,0.6525112635793651,0.0,1.0,0.40340039812833856,1.5518734455108643,25.775297667286473,0.6441449828157965,0.31874780260936325,combo_23
2,True,0.005,0.25,5,5,7,0.48144639271257983,0.6525112635793651,0.0,1.0,0.40340039812833856,1.5538458824157715,25.742578754214552,0.6441449828157965,0.31874780260936325,combo_24
2,True,0.01,0.15,3,3,5,0.49852851743663473,0.7105031889463087,0.0,1.0,0.41489054230211053,1.5538437366485596,25.742614303208402,0.6633053059602944,0.33375172891297505,combo_25
2,True,0.01,0.15,3,3,7,0.49852851743663473,0.7105031889463087,0.0,1.0,0.41489054230211053,1.5747904777526855,25.400204385971552,0.6633053059602944,0.33375172891297505,combo_26
2,True,0.01,0.15,3,5,5,0.48595519213703237,0.693656071869029,0.0,1.0,0.40739297093089644,1.5578339099884033,25.676678202683213,0.6540580099127499,0.31785237436131497,combo_27
2,True,0.01,0.15,3,5,7,0.48595519213703237,0.693656071869029,0.0,1.0,0.40739297093089644,1.5638177394866943,25.578428348772633,0.6540580099127499,0.31785237436131497,combo_28
2,True,0.01,0.15,5,3,5,0.5048178316405807,0.7363941004384615,0.0,1.0,0.4169038004741585,1.552870512008667,25.758747874128446,0.6723508715683859,0.33728479171277537,combo_29
2,True,0.01,0.15,5,3,7,0.5048178316405807,0.7363941004384615,0.0,1.0,0.4169038004741585,1.5548410415649414,25.726102495815365,0.6723508715683859,0.33728479171277537,combo_30
2,True,0.01,0.15,5,5,5,0.4931095722487903,0.6984420716780873,0.0,1.0,0.40906387229482893,1.558830976486206,25.66025476999748,0.6619625014299848,0.324256643067596,combo_31
2,True,0.01,0.15,5,5,7,0.4931095722487903,0.6984420716780873,0.0,1.0,0.40906387229482893,1.5518503189086914,25.775681786197797,0.6619625014299848,0.324256643067596,combo_32
2,True,0.01,0.2,3,3,5,0.49852851743663473,0.7105031889463087,0.0,1.0,0.41489054230211053,1.556835651397705,25.69314234555752,0.6633053059602944,0.33375172891297505,combo_33
2,True,0.01,0.2,3,3,7,0.49852851743663473,0.7105031889463087,0.0,1.0,0.41489054230211053,1.558830738067627,25.66025869465802,0.6633053059602944,0.33375172891297505,combo_34
2,True,0.01,0.2,3,5,5,0.48595519213703237,0.693656071869029,0.0,1.0,0.40739297093089644,1.5688047409057617,25.497118256352085,0.6540580099127499,0.31785237436131497,combo_35
2,True,0.01,0.2,3,5,7,0.48595519213703237,0.693656071869029,0.0,1.0,0.40739297093089644,1.5608243942260742,25.627482596998856,0.6540580099127499,0.31785237436131497,combo_36
2,True,0.01,0.2,5,3,5,0.5048178316405807,0.7363941004384615,0.0,1.0,0.4169038004741585,1.5618236064910889,25.61108683064858,0.6723508715683859,0.33728479171277537,combo_37
2,True,0.01,0.2,5,3,7,0.5048178316405807,0.7363941004384615,0.0,1.0,0.4169038004741585,1.558830976486206,25.66025476999748,0.6723508715683859,0.33728479171277537,combo_38
2,True,0.01,0.2,5,5,5,0.4931095722487903,0.6984420716780873,0.0,1.0,0.40906387229482893,1.5548417568206787,25.72609066133618,0.6619625014299848,0.324256643067596,combo_39
2,True,0.01,0.2,5,5,7,0.4931095722487903,0.6984420716780873,0.0,1.0,0.40906387229482893,1.5548419952392578,25.726086716512203,0.6619625014299848,0.324256643067596,combo_40
2,True,0.01,0.25,3,3,5,0.49852851743663473,0.7105031889463087,0.0,1.0,0.41489054230211053,1.563816785812378,25.57844394746066,0.6633053059602944,0.33375172891297505,combo_41
2,True,0.01,0.25,3,3,7,0.49852851743663473,0.7105031889463087,0.0,1.0,0.41489054230211053,1.6106722354888916,24.83435122221418,0.6633053059602944,0.33375172891297505,combo_42
2,True,0.01,0.25,3,5,5,0.48595519213703237,0.693656071869029,0.0,1.0,0.40739297093089644,1.5588326454162598,25.660227297407335,0.6540580099127499,0.31785237436131497,combo_43
2,True,0.01,0.25,3,5,7,0.48595519213703237,0.693656071869029,0.0,1.0,0.40739297093089644,1.5628197193145752,25.594762790389723,0.6540580099127499,0.31785237436131497,combo_44
2,True,0.01,0.25,5,3,5,0.5048178316405807,0.7363941004384615,0.0,1.0,0.4169038004741585,1.5717968940734863,25.448580634572675,0.6723508715683859,0.33728479171277537,combo_45
2,True,0.01,0.25,5,3,7,0.5048178316405807,0.7363941004384615,0.0,1.0,0.4169038004741585,1.5628197193145752,25.594762790389723,0.6723508715683859,0.33728479171277537,combo_46
2,True,0.01,0.25,5,5,5,0.4931095722487903,0.6984420716780873,0.0,1.0,0.40906387229482893,1.5538444519042969,25.742602453532875,0.6619625014299848,0.324256643067596,combo_47
2,True,0.01,0.25,5,5,7,0.4931095722487903,0.6984420716780873,0.0,1.0,0.40906387229482893,1.5558390617370605,25.709600037513436,0.6619625014299848,0.324256643067596,combo_48
2,True,0.02,0.15,3,3,5,0.5078224568615154,0.7105031889463087,0.0,1.0,0.42257763357345685,1.5568363666534424,25.693130541383447,0.6818931848100555,0.33375172891297505,combo_49
2,True,0.02,0.15,3,3,7,0.5078224568615154,0.7105031889463087,0.0,1.0,0.42257763357345685,1.5498552322387695,25.808862123348067,0.6818931848100555,0.33375172891297505,combo_50
2,True,0.02,0.15,3,5,5,0.4955310301463447,0.693656071869029,0.0,1.0,0.41556742759643556,1.5548410415649414,25.726102495815365,0.6732096859313743,0.31785237436131497,combo_51
2,True,0.02,0.15,3,5,7,0.4955310301463447,0.693656071869029,0.0,1.0,0.41556742759643556,1.5558397769927979,25.709588218212243,0.6732096859313743,0.31785237436131497,combo_52
2,True,0.02,0.15,5,3,5,0.5118542249266433,0.7363941004384615,0.0,1.0,0.42086635022266305,1.556854248046875,25.6928354405567,0.6827165139770306,0.34099193587625604,combo_53
2,True,0.02,0.15,5,3,7,0.5118542249266433,0.7363941004384615,0.0,1.0,0.42086635022266305,1.5588314533233643,25.66024692068001,0.6827165139770306,0.34099193587625604,combo_54
2,True,0.02,0.15,5,5,5,0.4996781828268572,0.6984420716780873,0.0,1.0,0.4140657657547996,1.5608251094818115,25.627470853079664,0.6742637843291186,0.325092581324596,combo_55
2,True,0.02,0.15,5,5,7,0.4996781828268572,0.6984420716780873,0.0,1.0,0.4140657657547996,1.5578336715698242,25.67668213236919,0.6742637843291186,0.325092581324596,combo_56
2,True,0.02,0.2,3,3,5,0.5078224568615154,0.7105031889463087,0.0,1.0,0.42257763357345685,1.5568361282348633,25.693134476106934,0.6818931848100555,0.33375172891297505,combo_57
2,True,0.02,0.2,3,3,7,0.5078224568615154,0.7105031889463087,0.0,1.0,0.42257763357345685,1.5558390617370605,25.709600037513436,0.6818931848100555,0.33375172891297505,combo_58
